Category,Region,Orders,Revenue,AverageProfit
Furniture,East,371,198607.50999999995,3.1794032345013594
Technology,East,336,254948.83500000014,136.33589047619043
Office Supplies,West,403,177042.26700000008,97.70373176178666
Furniture,West,458,242698.9505000002,21.597584934497814
Office Supplies,Central,275,138104.30300000004,36.88617745454543
Furniture,Central,288,157180.39239999995,-3.1575385416666624
Office Supplies,East,357,168232.95400000003,89.01957338935574
Technology,West,400,241182.05499999964,106.75313224999991
Office Supplies,South,225,104503.183,70.34654977777781
Technology,Central,270,163407.81800000012,120.59298370370368
Furniture,South,201,112302.16000000003,28.644037810945278
Technology,South,181,143151.17200000005,104.61997513812157
