item_id,order_id,product_id,quantity,unit_price,discount_percent
ITM-000001,ORD-00001,PRD-0037,3,205.26,2.0
ITM-000002,ORD-00001,PRD-0077,5,527.0,50.1
ITM-000003,ORD-00001,PRD-0016,5,73.68,36.3
ITM-000004,ORD-00001,PRD-0073,4,643.54,11.1
ITM-000005,ORD-00002,PRD-0060,2,530.08,4.5
ITM-000006,ORD-00003,PRD-0042,3,209.58,46.8
ITM-000007,ORD-00003,PRD-0049,3,313.93,59.8
ITM-000008,ORD-00003,PRD-0034,3,146.45,4.2
ITM-000009,ORD-00003,PRD-0023,2,518.16,6.5
ITM-000010,ORD-00004,PRD-0014,4,730.52,42.9
ITM-000011,ORD-00004,PRD-0010,1,459.22,15.0
ITM-000012,ORD-00004,PRD-0064,-4,123.34,38.4
ITM-000013,ORD-00004,PRD-0035,1,125.53,19.8
ITM-000014,ORD-00004,PRD-0066,4,567.55,46.3
ITM-000015,ORD-00005,PRD-0009,4,434.4,0.2
ITM-000016,ORD-00005,PRD-0069,4,748.36,21.5
ITM-000017,ORD-00005,PRD-0012,3,295.46,51.2
ITM-000018,ORD-00005,PRD-0059,3,609.56,17.4
ITM-000019,ORD-00006,PRD-0050,2,530.28,17.9
ITM-000020,ORD-00006,PRD-0046,4,391.77,53.1
ITM-000021,ORD-00007,PRD-0025,2,25.16,59.8
ITM-000022,ORD-00007,PRD-0009,2,635.23,38.6
ITM-000023,ORD-00007,PRD-0058,4,773.43,1.0
ITM-000024,ORD-00007,PRD-0006,3,327.38,12.7
ITM-000025,ORD-00008,PRD-0069,4,123.42,34.8
ITM-000026,ORD-00008,PRD-0019,1,393.67,1.1
ITM-000027,ORD-00008,PRD-0017,5,16.42,38.0
ITM-000028,ORD-00008,PRD-0013,3,367.67,10.2
ITM-000029,ORD-00008,PRD-0014,5,95.77,35.7
ITM-000030,ORD-00009,PRD-0026,2,343.84,48.7
ITM-000031,ORD-00009,PRD-0074,4,438.98,19.3
ITM-000032,ORD-00009,PRD-0076,2,142.89,3.8
ITM-000033,ORD-00009,PRD-0054,3,138.6,22.2
ITM-000034,ORD-00009,PRD-0075,2,37.36,6.0
ITM-000035,ORD-00010,PRD-0003,4,704.3,4.8
ITM-000036,ORD-00010,PRD-0012,1,566.86,35.6
ITM-000037,ORD-00010,PRD-0061,3,555.42,12.4
ITM-000038,ORD-00010,PRD-0053,3,195.21,10.5
ITM-000039,ORD-00010,PRD-0064,1,491.58,5.3
ITM-000040,ORD-00011,PRD-0072,3,192.33,7.1
ITM-000041,ORD-00011,PRD-0080,5,292.71,45.7
ITM-000042,ORD-00011,PRD-0060,5,617.41,39.6
ITM-000043,ORD-00012,PRD-0020,1,549.77,58.1
ITM-000044,ORD-00012,PRD-0021,4,537.76,2.6
ITM-000045,ORD-00012,PRD-0056,3,204.85,37.0
ITM-000046,ORD-00013,PRD-0007,1,740.26,10.6
ITM-000047,ORD-00013,PRD-0015,1,61.33,14.1
ITM-000048,ORD-00013,PRD-0042,4,338.16,44.8
ITM-000049,ORD-00013,PRD-0015,3,264.28,5.9
ITM-000050,ORD-00014,PRD-0029,2,63.46,35.1
ITM-000051,ORD-00014,PRD-0019,1,176.85,36.6
ITM-000052,ORD-00014,PRD-0018,2,368.9,11.6
ITM-000053,ORD-00014,PRD-0026,3,272.03,1.9
ITM-000054,ORD-00015,PRD-0015,1,682.06,27.5
ITM-000055,ORD-00015,PRD-0029,2,709.7,36.2
ITM-000056,ORD-00015,PRD-0074,5,776.26,51.3
ITM-000057,ORD-00015,PRD-0067,1,393.92,59.7
ITM-000058,ORD-00015,PRD-0060,5,226.94,43.8
ITM-000059,ORD-00016,PRD-0075,2,181.81,55.6
ITM-000060,ORD-00016,PRD-0001,2,337.13,2.7
ITM-000061,ORD-00017,PRD-0068,5,318.48,48.6
ITM-000062,ORD-00017,PRD-0031,1,71.06,45.2
ITM-000063,ORD-00017,PRD-0017,4,289.93,14.3
ITM-000064,ORD-00017,PRD-0040,-1,133.63,27.6
ITM-000065,ORD-00018,PRD-0059,-5,373.69,8.3
ITM-000066,ORD-00018,PRD-0048,4,503.31,42.2
ITM-000067,ORD-00018,PRD-0010,1,310.98,41.4
ITM-000068,ORD-00018,PRD-0055,5,603.55,41.9
ITM-000069,ORD-00018,PRD-0027,5,631.22,4.9
ITM-000070,ORD-00019,PRD-0047,1,710.94,6.7
ITM-000071,ORD-00019,PRD-0006,3,295.63,10.5
ITM-000072,ORD-00019,PRD-0072,5,568.92,12.3
ITM-000073,ORD-00020,PRD-0062,2,591.22,45.1
ITM-000074,ORD-00020,PRD-0029,2,259.77,53.9
ITM-000075,ORD-00020,PRD-0036,5,48.3,22.4
ITM-000076,ORD-00021,PRD-0016,4,378.78,31.9
ITM-000077,ORD-00021,PRD-0058,5,498.66,48.0
ITM-000078,ORD-00021,PRD-0059,1,74.41,23.4
ITM-000079,ORD-00021,PRD-0010,2,91.95,16.6
ITM-000080,ORD-00022,PRD-0027,4,418.95,37.6
ITM-000081,ORD-00022,PRD-0070,3,745.72,28.4
ITM-000082,ORD-00023,PRD-0003,4,236.76,3.8
ITM-000083,ORD-00023,PRD-0067,2,517.51,24.7
ITM-000084,ORD-00023,PRD-0042,3,391.49,40.0
ITM-000085,ORD-00023,PRD-0057,5,369.12,34.0
ITM-000086,ORD-00024,PRD-0030,2,389.97,58.2
