order_id,customer_id,order_date,status,region_code
ORD-00001,,2025-02-10 11:04:32,DELIVERED,NORTH
ORD-00002,CUST-0126,2026-04-23 11:40:57,CANCELLED,SOUTH
ORD-00003,CUST-0134,2025-11-06 17:49:30,CANCELLED,WEST
ORD-00004,CUST-0069,2025-09-13 02:17:56,CANCELLED,SOUTH
ORD-00005,CUST-0146,2025-07-17 15:54:20,SHIPPED,WEST
ORD-00006,CUST-0067,2025-08-26 19:44:56,DELIVERED,CENTRAL
ORD-00007,,2026-01-26 23:26:31,RETURNED,SOUTH
ORD-00008,CUST-0126,2025-05-08 02:18:14,CANCELLED,SOUTH
ORD-00009,CUST-0149,2025-07-28 16:22:27,RETURNED,EAST
ORD-00010,CUST-0117,2025-11-05 07:07:46,SHIPPED,EAST
ORD-00011,CUST-0138,2026-02-01 23:30:17,RETURNED,CENTRAL
ORD-00012,CUST-0026,2026-01-23 11:11:19,PLACED,CENTRAL
ORD-00013,CUST-0012,2026-06-15 22:08:40,CANCELLED,NORTH
ORD-00014,CUST-0147,2025-10-22 14:21:11,PLACED,EAST
ORD-00015,CUST-0123,2026-04-15 12:31:04,RETURNED,NORTH
ORD-00016,CUST-0145,2025-10-02 07:07:35,CANCELLED,CENTRAL
ORD-00017,CUST-0058,2025-02-20 14:19:55,RETURNED,WEST
ORD-00018,CUST-0016,2026-04-30 06:40:13,DELIVERED,NORTH
ORD-00019,CUST-0045,2026-05-25 13:28:44,RETURNED,WEST
ORD-00020,CUST-0060,2025-10-18 22:55:29,PLACED,SOUTH
ORD-00021,CUST-0051,2025-05-31 07:41:09,DELIVERED,SOUTH
ORD-00022,CUST-0043,2025-09-29 18:58:18,CANCELLED,NORTH
ORD-00023,CUST-0078,2025-06-23 16:34:31,CANCELLED,NORTH
ORD-00024,CUST-0111,2025-09-13 00:05:14,RETURNED,CENTRAL
ORD-00025,CUST-0069,2026-06-29 05:30:33,CANCELLED,EAST
ORD-00026,CUST-0150,2025-05-20 15:05:30,DELIVERED,WEST
ORD-00027,CUST-0027,2026-02-26 22:31:18,CANCELLED,CENTRAL
ORD-00028,,2026-05-11 10:07:49,CANCELLED,CENTRAL
ORD-00029,CUST-0001,2025-04-23 06:33:23,RETURNED,WEST
ORD-00030,CUST-0014,2026-01-13 04:59:18,CANCELLED,WEST
ORD-00031,CUST-0062,2026-02-28 00:35:26,PLACED,SOUTH
ORD-00032,CUST-0030,2025-04-24 20:53:09,CANCELLED,EAST
ORD-00033,CUST-0070,2025-06-10 15:15:29,RETURNED,SOUTH
ORD-00034,CUST-0131,2026-03-23 08:49:50,CANCELLED,EAST
ORD-00035,CUST-0130,2025-11-09 09:46:19,RETURNED,CENTRAL
ORD-00036,CUST-0126,2026-03-10 15:22:21,RETURNED,CENTRAL
ORD-00037,CUST-0083,2026-01-28 07:36:24,SHIPPED,WEST
ORD-00038,,2025-04-12 12:24:42,SHIPPED,WEST
ORD-00039,CUST-0033,2025-03-13 10:55:06,CANCELLED,NORTH
